"","Zomato.address","Zomato.name","Zomato.online_order","Zomato.book_table","Zomato.rate","Zomato.votes","Zomato.location","Zomato.approx_cost.for.two.people.","Zomato.RestoCOde"
"13","111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore","Caf-Eleven","No","No",4,424,"Banashankari","450","111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, BangaloreCaf-Eleven"
"14","2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore","Cafe Vivacity","Yes","No",3.8,90,"Banashankari","650","2303, 21st Cross, K R Road, 2nd Stage, Banashankari, BangaloreCafe Vivacity"
"15","241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore","Catch-up-ino","Yes","No",3.9,133,"Banashankari","800","241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, BangaloreCatch-up-ino"
"16","405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore","Kirthi's Biryani","Yes","No",3.8,144,"Banashankari","700","405, 24th Cross, 9th Main, 2nd Stage, Banashankari, BangaloreKirthi's Biryani"
"17","504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore","T3H Cafe","No","No",3.9,93,"Banashankari","300","504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, BangaloreT3H Cafe"
"18","47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore","360 Atoms Restaurant And Cafe","Yes","No",3.1,13,"Banashankari","400","47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore360 Atoms Restaurant And Cafe"
"19","146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore","The Vintage Cafe","Yes","No",3,62,"Banashankari","400","146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, BangaloreThe Vintage Cafe"
"20","3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore","Woodee Pizza","Yes","No",3.7,180,"Banashankari","500","3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, BangaloreWoodee Pizza"
"21","SRF Complex, Near BDA Complex, Kathreguppe Main Road, Banashankari, Bangalore","Cafe Coffee Day","No","No",3.6,28,"Banashankari","900","SRF Complex, Near BDA Complex, Kathreguppe Main Road, Banashankari, BangaloreCafe Coffee Day"
"22","224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore","My Tea House","Yes","No",3.6,62,"Banashankari","600","224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, BangaloreMy Tea House"
"23","775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, Bangalore","Hide Out Cafe","No","No",3.7,31,"Banashankari","300","775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, BangaloreHide Out Cafe"
"24","101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore","CAFE NOVA","No","No",3.2,11,"Banashankari","600","101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, BangaloreCAFE NOVA"
"25","27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore","Coffee Tindi","Yes","No",3.8,75,"Banashankari","200","27th Cross Rd, Banashankari Stage II, Banashankari, BangaloreCoffee Tindi"
"26","1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, Bangalore","Sea Green Cafe","No","No",3.3,4,"Banashankari","500","1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, BangaloreSea Green Cafe"
"27","940, Shantha Complex, 20th Main, 2nd Stage, Banashankari, Bangalore","Cuppa","No","No",3.3,23,"Banashankari","550","940, Shantha Complex, 20th Main, 2nd Stage, Banashankari, BangaloreCuppa"
"28","112, Bull Temple Road,next to more Basavanagudi, Bangalore","Srinathji's Cafe","No","No",3.8,148,"Basavanagudi","550","112, Bull Temple Road,next to more Basavanagudi, BangaloreSrinathji's Cafe"
"29","30, Surveyor Street, DVG Road, Basavanagudi, Bangalore","Redberrys","Yes","No",4,219,"Basavanagudi","600","30, Surveyor Street, DVG Road, Basavanagudi, BangaloreRedberrys"
"30","2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore","Foodiction","Yes","No",2.8,506,"Banashankari","500","2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, BangaloreFoodiction"
"31","101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore","Sweet Truth","Yes","No",3.9,35,"Banashankari","500","101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, BangaloreSweet Truth"
"32","101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore","Ovenstory Pizza","Yes","No",3.9,172,"Banashankari","750","101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, BangaloreOvenstory Pizza"
"33","80, BDA Complex, 2nd Stage, Banashankari, Bangalore","Faasos","Yes","No",4.2,415,"Banashankari","500","80, BDA Complex, 2nd Stage, Banashankari, BangaloreFaasos"
"34","101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore","Behrouz Biryani","Yes","No",3.9,230,"Banashankari","650","101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, BangaloreBehrouz Biryani"
"35","32, 7th Main Road, Dwaraka Nagar,Near PES College, Banashankari, Bangalore","Fast And Fresh","Yes","No",2.8,91,"Banashankari","400","32, 7th Main Road, Dwaraka Nagar,Near PES College, Banashankari, BangaloreFast And Fresh"
"36","8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore","Szechuan Dragon","Yes","No",4.2,1647,"Banashankari","600","8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, BangaloreSzechuan Dragon"
"37","4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore","Empire Restaurant","Yes","No",4.4,4884,"Jayanagar","750","4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, BangaloreEmpire Restaurant"
"38","556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore","Maruthi Davangere Benne Dosa","Yes","No",4,17,"Banashankari","150","556/A, Water Tank Road, 3rd Stage, Banashankari, BangaloreMaruthi Davangere Benne Dosa"
"39","39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore","Chaatimes","Yes","No",3.8,133,"Basavanagudi","200","39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, BangaloreChaatimes"
"40","Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore","Havyaka Mess","No","No",3.9,28,"Banashankari","300","Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, BangaloreHavyaka Mess"
"41","2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore","McDonald's","Yes","No",3.9,286,"Banashankari","500","2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, BangaloreMcDonald's"
"42","645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore","Domino's Pizza","Yes","No",3.9,540,"Banashankari","800","645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, BangaloreDomino's Pizza"
"43","2nd Stage, Banashankari, Bangalore","Hotboxit","No","No",3.8,36,"Banashankari","400","2nd Stage, Banashankari, BangaloreHotboxit"
"44","1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore","Kitchen Garden","Yes","No",3.6,244,"Kumaraswamy Layout","300","1750, 14th Main, Police Station Road, Kumaraswamy Layout, BangaloreKitchen Garden"
"45","1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore","Recipe","Yes","No",4,804,"Kumaraswamy Layout","450","1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, BangaloreRecipe"
"46","179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, Bangalore","Beijing Bites","Yes","No",3.7,679,"Rajarajeshwari Nagar","850","179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, BangaloreBeijing Bites"
"47","1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore","Tasty Bytes","Yes","No",3.1,245,"Kumaraswamy Layout","300","1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, BangaloreTasty Bytes"
"48","276, Ground Floor, 100 Feet Outer Ring Road, Banashankari 3rd Stage, Banashankari, Bangalore","Petoo","No","No",3.7,21,"Banashankari","450","276, Ground Floor, 100 Feet Outer Ring Road, Banashankari 3rd Stage, Banashankari, BangalorePetoo"
"49","1514, 4th Cross, 7th Main, RPC layout, 2nd Stage, Vijay Nagar, Bangalore","Shree Cool Point","Yes","No",4.1,28,"Vijay Nagar","150","1514, 4th Cross, 7th Main, RPC layout, 2nd Stage, Vijay Nagar, BangaloreShree Cool Point"
"50","808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore","Corner House Ice Cream","No","No",4.3,345,"Banashankari","400","808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, BangaloreCorner House Ice Cream"
"51","178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore","Biryanis And More","Yes","No",4,618,"Jayanagar","750","178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, BangaloreBiryanis And More"
"52","78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore","Roving Feast","No","No",4,1047,"Banashankari","450","78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, BangaloreRoving Feast"
"53","218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore","Banashankari Donne Biriyani","Yes","No",3.8,104,"Banashankari","300","218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, BangaloreBanashankari Donne Biriyani"
"54","2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore","Wamama","Yes","Yes",4.2,354,"Banashankari","800","2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, BangaloreWamama"
"55","484/A, 1st Stage, 2nd Block, 4th Main Rd, SBM Colony, Seetha Circle, Banashankari, Bangalore","Five Star Chicken","No","No",3.6,55,"Banashankari","200","484/A, 1st Stage, 2nd Block, 4th Main Rd, SBM Colony, Seetha Circle, Banashankari, BangaloreFive Star Chicken"
"56","18, B K Complex, Opposite To BDA Complex, 21st, Main Road, 2nd Stage, Banashankari, Bangalore","XO Belgian Waffle","Yes","No",3.7,17,"Banashankari","400","18, B K Complex, Opposite To BDA Complex, 21st, Main Road, 2nd Stage, Banashankari, BangaloreXO Belgian Waffle"
"57","942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore","Peppy Peppers","No","No",4.2,244,"Banashankari","800","942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, BangalorePeppy Peppers"
"58","1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore","Goa 0 Km","Yes","Yes",3.6,163,"Kumaraswamy Layout","800","1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, BangaloreGoa 0 Km"
"59","67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore","Chinese Kitchen","Yes","No",3.8,58,"Basavanagudi","150","67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, BangaloreChinese Kitchen"
"60","296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore","1947","No","Yes",4,808,"Banashankari","850","296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore1947"
"61","295/B, 7th Main Road, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore","Cake of the Day","No","No",3.7,78,"Banashankari","150","295/B, 7th Main Road, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, BangaloreCake of the Day"
"62","31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore","Kabab Magic","Yes","No",4.1,1720,"Basavanagudi","400","31, Opposite Vijaya College, RV Road, Basavanagudi, BangaloreKabab Magic"
"63","30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore","Namma Brahmin's Idli","Yes","No",3.6,34,"Jayanagar","100","30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, BangaloreNamma Brahmin's Idli"
"64","10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore","Gustoes Beer House","No","No",4.1,868,"Banashankari","1,200","10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, BangaloreGustoes Beer House"
"65","186, 11th Main, 4th Cross, Hanumanthnagar, Banashankari, Bangalore","Sugar Rush","No","No",3.8,39,"Banashankari","300","186, 11th Main, 4th Cross, Hanumanthnagar, Banashankari, BangaloreSugar Rush"
"66","59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore","Burger King","Yes","No",3.2,71,"Basavanagudi","600","59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, BangaloreBurger King"
"67","101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore","The Good Bowl","Yes","No",3.6,6,"Banashankari","500","101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, BangaloreThe Good Bowl"
"68","476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore","The Biryani Cafe","No","No",4.1,520,"Banashankari","300","476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, BangaloreThe Biryani Cafe"
"69","100 Feet Road, 3rd Stage, Banashankari, Bangalore","LSD Cafe","No","No",2.9,84,"Banashankari","700","100 Feet Road, 3rd Stage, Banashankari, BangaloreLSD Cafe"
"70","Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore","Rolls On Wheels","No","No",3.6,299,"Banashankari","300","Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, BangaloreRolls On Wheels"
"71","49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore","Sri Guru Kottureshwara Davangere Benne Dosa","Yes","No",4.1,558,"Basavanagudi","150","49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, BangaloreSri Guru Kottureshwara Davangere Benne Dosa"
"72","16th Main Road, Near PESIT College, Banashankari, Bangalore","Devanna Dum Biriyani Centre","Yes","No",3.6,28,"Banashankari","300","16th Main Road, Near PESIT College, Banashankari, BangaloreDevanna Dum Biriyani Centre"
"73","1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore","Kolbeh","No","No",3.7,22,"Banashankari","500","1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, BangaloreKolbeh"
"74","727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore","Upahar Sagar","No","No",3.8,39,"Banashankari","350","727, 23rd Cross, KR Road, 2nd Stage, Banashankari, BangaloreUpahar Sagar"
"75","36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore","Kadalu Sea Food Restaurant","Yes","No",3.8,153,"Vijay Nagar","500","36, 2nd Main, RPC Layout, Vijay Nagar, BangaloreKadalu Sea Food Restaurant"
"76","2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore","Frozen Bottle","Yes","No",4.2,146,"Banashankari","400","2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, BangaloreFrozen Bottle"
"77","1142, 22nd Cross, 30th Main, Banashankari, Bangalore","Parimala Sweets","No","No",3.5,14,"Banashankari","200","1142, 22nd Cross, 30th Main, Banashankari, BangaloreParimala Sweets"
"78","512, 2nd Cross, 3rd Stage, Banashankari, Bangalore","Vaishali Deluxe","No","No",3.8,42,"Banashankari","700","512, 2nd Cross, 3rd Stage, Banashankari, BangaloreVaishali Deluxe"
"79","45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore","The Big O Bakes","No","No",4,66,"Banashankari","300","45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, BangaloreThe Big O Bakes"
"80","52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore","Meghana Foods","Yes","No",4.4,4401,"Jayanagar","600","52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, BangaloreMeghana Foods"
"81","38, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore","Krishna Sagar","No","No",3.5,31,"Banashankari","200","38, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, BangaloreKrishna Sagar"
"82","1/34, 3rd Cross Road, Kathriguppe IV Phase, Banashankari 3rd Stage, Banashankari, Bangalore","Dessert Rose","No","No",3.5,7,"Banashankari","500","1/34, 3rd Cross Road, Kathriguppe IV Phase, Banashankari 3rd Stage, Banashankari, BangaloreDessert Rose"
"83","480/A, 50 feet road, Nagendra block, Near PES College, Nagendra block, Banashankari, Bangalore","Chickpet Donne Biryani House","No","No",3.7,21,"Banashankari","250","480/A, 50 feet road, Nagendra block, Near PES College, Nagendra block, Banashankari, BangaloreChickpet Donne Biryani House"
"84","941, 21st Main Road, BSK 2nd Stage , Near BDA Complex, Banashankari, Bangalore","Thanco's Natural Ice Creams","No","No",3.2,9,"Banashankari","300","941, 21st Main Road, BSK 2nd Stage , Near BDA Complex, Banashankari, BangaloreThanco's Natural Ice Creams"
"85","304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,","Nandhini Deluxe","No","No",2.6,283,"Banashankari","600","304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,Nandhini Deluxe"
"86","3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore","Vi Ra's Bar and Restaurant","No","No",3.3,62,"Banashankari","800","3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, BangaloreVi Ra's Bar and Restaurant"
"87","50 Feet Road, Hanumanthanagar, Banashankari, Bangalore","Kaggis","No","No",3.8,64,"Banashankari","250","50 Feet Road, Hanumanthanagar, Banashankari, BangaloreKaggis"
"88","34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore","Ayda Persian Kitchen","No","No",3.7,39,"Banashankari","950","34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, BangaloreAyda Persian Kitchen"
"89","24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore","Chatar Patar","No","No",3.7,65,"Banashankari","300","24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, BangaloreChatar Patar"
"90","96, Opposite Jain Collage, Basavanagudi, Bangalore","Polar Bear","Yes","No",3.8,71,"Basavanagudi","400","96, Opposite Jain Collage, Basavanagudi, BangalorePolar Bear"
"91","2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore","Kidambi's Kitchen","No","No",3.5,52,"Banashankari","300","2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, BangaloreKidambi's Kitchen"
"92","295/A, 7th Main road, 7th Block, 3rd Stage, Banashankari, Bangalore","Mane Thindi","No","No",3.7,130,"Banashankari","200","295/A, 7th Main road, 7th Block, 3rd Stage, Banashankari, BangaloreMane Thindi"
"93","1189, 10th Cross, Shankarnag Circle, 1st Stage, 2nd Block, Banashankari, Bangalore","Kotian Karavali Restaurant","No","No",3.5,10,"Banashankari","300","1189, 10th Cross, Shankarnag Circle, 1st Stage, 2nd Block, Banashankari, BangaloreKotian Karavali Restaurant"
"94","415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore","Floured-Baked With Love","No","No",3.8,45,"Banashankari","400","415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, BangaloreFloured-Baked With Love"
"95","27, 80 Feet Road, Srinivasnagar, Banashankari, Bangalore","Cakes & Slices","No","No",3.5,13,"Banashankari","300","27, 80 Feet Road, Srinivasnagar, Banashankari, BangaloreCakes & Slices"
"96","Number 42, 4th Block, 6th Stage Banashankari, Vrishabhvachi Nagar, Opposite RV College of Architecture, Bangalore","Spice 9","No","No",3.4,8,"Banashankari","300","Number 42, 4th Block, 6th Stage Banashankari, Vrishabhvachi Nagar, Opposite RV College of Architecture, BangaloreSpice 9"
"97","2, 3rd Cross, Near Pesit College, Banashankari, Bangalore","Naveen Kabab & Biriyani Mane","No","No",3.2,9,"Banashankari","300","2, 3rd Cross, Near Pesit College, Banashankari, BangaloreNaveen Kabab & Biriyani Mane"
"98","8, Katriguppe Main Road, Vivekananda Nagar, 3rd Stage, Banashankari, Bangalore","Katriguppe Donne Biryani","No","No",3.2,4,"Banashankari","300","8, Katriguppe Main Road, Vivekananda Nagar, 3rd Stage, Banashankari, BangaloreKatriguppe Donne Biryani"
"99","7/1, Behind BMS College Hostel, 80 Feet Road, 1st Stage, Srinivas Nagar Bank Colony, Banashankari, Bangalore","Atithi Point Ande Ka Funda","No","No",3.1,29,"Banashankari","150","7/1, Behind BMS College Hostel, 80 Feet Road, 1st Stage, Srinivas Nagar Bank Colony, Banashankari, BangaloreAtithi Point Ande Ka Funda"
"100","3967, VHBC Society, Girinagar Phase 4, Hosekerehalli Mani Road, Banashankari 3rd Stage, Banashankari, Bangalore","Just Bake","No","No",3.4,8,"Banashankari","400","3967, VHBC Society, Girinagar Phase 4, Hosekerehalli Mani Road, Banashankari 3rd Stage, Banashankari, BangaloreJust Bake"
"101","27, 27th Cross, 2nd Stage, Banashankari, Bangalore","K27 - The Pub","No","No",3.1,30,"Banashankari","1,000","27, 27th Cross, 2nd Stage, Banashankari, BangaloreK27 - The Pub"
"102","4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, Bangalore","Bengaluru Coffee House","Yes","No",4.1,201,"Banashankari","300","4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, BangaloreBengaluru Coffee House"
"103","89, Near PES College, 22nd Main Road, Girinagar, 1st Stage, Banashankari, Bangalore","New Mangalore Lunch Home","No","No",3.3,7,"Banashankari","200","89, Near PES College, 22nd Main Road, Girinagar, 1st Stage, Banashankari, BangaloreNew Mangalore Lunch Home"
"104","10th Main, Hanumanthanagar, 50 Feet Road, Phase 1, Banashankari, Bangalore","Coffee Bytes","No","No",3.1,6,"Banashankari","100","10th Main, Hanumanthanagar, 50 Feet Road, Phase 1, Banashankari, BangaloreCoffee Bytes"
"105","68, Opposite ICICI Bank, 21st Main Road, 2nd Stage, Banashankari, Bangalore","Parjanya Chat Zone","No","No",3.3,17,"Banashankari","200","68, Opposite ICICI Bank, 21st Main Road, 2nd Stage, Banashankari, BangaloreParjanya Chat Zone"
"106","590, 24th Cross, 2nd Stage, Banashankari, Bangalore","Kwality Wall's Swirl's Happiness Station","No","No",2.9,25,"Banashankari","200","590, 24th Cross, 2nd Stage, Banashankari, BangaloreKwality Wall's Swirl's Happiness Station"
"107","Padmanabhanagar, Banashankari, Bangalore","Ruchi Maayaka","No","No",3.3,8,"Banashankari","100","Padmanabhanagar, Banashankari, BangaloreRuchi Maayaka"
"108","21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore","Anna Kuteera","Yes","No",4,771,"Banashankari","450","21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, BangaloreAnna Kuteera"
"109","1, Near BDA Complex, 24th Main, 2nd Stage, Banashankari, Bangalore","Darbar","No","No",3,98,"Banashankari","800","1, Near BDA Complex, 24th Main, 2nd Stage, Banashankari, BangaloreDarbar"
